subject,cond,note1,note2,resp,rt
1464016580,1,4,1,-1,441
1464016580,1,1,3,1,362
1464016580,1,0,11,-1,401
1464016580,1,7,5,-1,350
1464016580,1,9,7,-1,421
1464016580,1,9,10,1,371
1464016580,1,10,6,-1,810
1464016580,1,2,10,-1,841
1464016580,1,11,3,1,450
1464016580,1,3,2,-1,408
1464016580,1,0,11,-1,920
1464016580,1,9,5,1,390
1464016580,1,1,5,1,2972
1464016580,1,5,6,1,510
1464016580,1,7,8,1,480
1464016580,1,6,9,1,781
1464016580,1,0,4,-1,3305
1464016580,1,3,0,-1,403
1464016580,1,2,4,1,550
1464016580,1,10,8,-1,581
1464016580,1,8,11,1,462
1464016580,1,3,0,-1,1478
1464016580,1,11,1,1,615
1464016580,1,5,8,1,706
1464016580,2,1,6,1,2884
1464016580,2,10,4,1,2301
1464016580,2,2,9,1,2774
1464016580,2,8,3,-1,4795
1464016580,2,6,11,1,941
1464016580,2,9,3,-1,2154
1464016580,2,3,10,-1,1443
1464016580,2,0,6,1,1101
1464016580,2,0,6,1,590
1464016580,2,1,6,1,2311
1464016580,2,11,4,1,691
1464016580,2,8,2,1,1983
1464016580,2,9,4,-1,1110
1464016580,2,9,2,1,1941
1464016580,2,7,1,-1,1300
1464016580,2,1,7,-1,1924
1464016580,2,5,11,1,2224
1464016580,2,8,2,1,771
1464016580,2,8,1,1,2605
1464016580,2,11,5,1,962
1464016580,2,10,5,1,1472
1464016580,2,1,8,-1,1023
1464016580,2,7,2,-1,1211
1464016580,2,0,5,1,750
1464016580,2,7,1,-1,1251
1464016580,2,6,11,1,385
1464016580,2,7,2,1,2660
1464016580,2,4,9,1,911
1464016580,2,0,7,-1,1142
1464016580,2,10,4,1,850
1464016580,2,4,9,-1,1672
1464016580,2,2,8,-1,614
1464016580,2,0,5,1,820
1464016580,2,5,10,-1,651
1464016580,2,2,8,-1,591
1464016580,2,10,3,1,300
1464016580,2,3,9,-1,261
1464016580,2,2,7,-1,771
1464016580,2,1,8,-1,775
1464016580,2,0,5,1,350
1464016580,2,7,2,1,1090
1464016580,2,11,4,1,940
1464016580,2,9,4,1,2225
1464016580,2,11,4,1,501
1464016580,2,1,8,-1,1402
1464016580,2,10,3,1,1331
1464016580,2,5,10,-1,670
1464016580,2,9,4,1,702
1464016580,2,3,9,-1,631
1464016580,2,8,2,1,545
1464016580,2,3,10,-1,470
1464016580,2,5,0,-1,540
1464016580,2,5,11,-1,1000
1464016580,2,11,5,1,4982
1464016580,2,5,11,-1,1227
1464016580,2,9,2,1,1501
1464016580,2,8,1,1,580
1464016580,2,11,6,1,3620
1464016580,2,4,10,-1,631
1464016580,2,6,1,-1,1093
1464016580,2,11,5,1,790
1464016580,2,3,8,-1,1240
1464016580,2,6,1,1,2512
1464016580,2,0,7,-1,442
1464016580,2,7,0,1,1791
1464016580,2,6,0,1,871
1464016580,2,5,0,1,4469
1464016580,2,2,7,-1,861
1464016580,2,7,1,1,490
1464016580,2,11,6,-1,2811
1464016580,2,3,8,1,980
1464016580,2,7,0,1,1502
1464016580,2,4,11,-1,863
1464016580,2,4,9,-1,930
1464016580,2,7,0,1,332
1464016580,2,1,7,-1,2342
1464016580,2,3,8,-1,1848
1464016580,2,4,11,-1,1102
1464016580,2,4,10,-1,421
1464016580,2,6,1,1,561
1464016580,2,6,0,1,1471
1464016580,2,2,8,-1,611
1464016580,2,1,7,-1,524
1464016580,2,10,4,1,491
1464016580,2,5,10,-1,1051
1464016580,2,3,10,-1,3481
1464016580,2,10,5,1,801
1464016580,2,2,9,-1,1551
1464016580,2,4,11,-1,332
1464016580,2,2,7,-1,400
1464016580,2,9,3,1,291
1464016580,2,2,9,-1,712
1464016580,2,10,5,1,715
1464016580,2,8,3,-1,380
1464016580,2,1,6,1,1394
1464016580,2,10,3,1,580
1464016580,2,3,9,-1,822
1464016580,2,11,6,1,910
1464016580,2,6,0,-1,1161
1464016580,2,0,7,1,600
1464016580,2,9,3,1,456
1464016580,2,8,3,1,472
1464016580,2,9,2,1,1003
1464016580,2,6,11,-1,1547
1464016580,2,0,6,-1,3181
1464016580,2,4,10,-1,385
1464016580,2,5,0,-1,1321
1464016580,2,8,1,1,235
1464016580,3,3,10,-1,1500
1464016580,3,11,5,1,502
1464016580,3,3,9,-1,301
1464016580,3,10,4,1,270
1464016580,3,10,3,1,421
1464016580,3,10,3,1,1281
1464016580,3,8,3,1,3120
1464016580,3,11,4,1,831
1464016580,3,1,7,1,1484
1464016580,3,3,10,-1,781
1464016580,3,8,1,1,963
1464016580,3,7,2,1,1120
1464016580,3,3,8,-1,1583
1464016580,3,4,9,-1,752
1464016580,3,5,0,-1,402
1464016580,3,7,0,-1,2320
1464016580,3,0,6,1,860
1464016580,3,11,5,1,572
1464016580,3,8,2,1,711
1464016580,3,3,8,-1,1212
1464016580,3,8,3,1,2201
1464016580,3,9,2,1,1252
1464016580,3,3,10,-1,211
1464016580,3,6,11,1,687
1464016580,3,1,6,-1,591
1464016580,3,10,5,1,2771
1464016580,3,7,2,1,760
1464016580,3,9,4,1,1041
1464016580,3,11,6,1,471
1464016580,3,3,9,-1,1140
1464016580,3,10,3,1,2341
1464016580,3,6,11,1,323
1464016580,3,6,1,1,412
1464016580,3,0,5,1,4273
1464016580,3,0,5,1,581
1464016580,3,2,9,-1,890
1464016580,3,6,0,1,1072
1464016580,3,2,8,-1,441
1464016580,3,7,2,1,341
1464016580,3,6,11,1,921
1464016580,3,9,4,1,852
1464016580,3,2,9,-1,822
1464016580,3,4,10,-1,1113
1464016580,3,5,10,-1,1263
1464016580,3,5,10,-1,593
1464016580,3,11,6,1,282
1464016580,3,3,8,-1,311
1464016580,3,11,5,1,250
1464016580,3,2,7,1,1210
1464016580,3,4,11,-1,420
1464016580,3,4,9,-1,816
1464016580,3,5,11,-1,350
1464016580,3,10,5,1,321
1464016580,3,4,10,-1,451
1464016580,3,8,2,1,961
1464016580,3,9,4,1,2043
1464016580,3,6,1,-1,662
1464016580,3,2,9,-1,471
1464016580,3,6,1,-1,381
1464016580,3,1,7,1,321
1464016580,3,9,3,1,402
1464016580,3,10,5,1,870
1464016580,3,8,3,1,1897
1464016580,3,2,7,-1,450
1464016580,3,11,4,1,482
1464016580,3,7,0,1,451
1464016580,3,9,3,1,345
1464016580,3,9,3,1,154
1464016580,3,6,0,1,431
1464016580,3,11,4,1,878
1464016580,3,2,8,-1,641
1464016580,3,0,5,1,3335
1464016580,3,2,7,1,1190
1464016580,3,8,1,1,2612
1464016580,3,6,0,1,701
1464016580,3,8,1,1,261
1464016580,3,9,2,1,381
1464016580,3,1,8,-1,1221
1464016580,3,4,11,-1,1221
1464016580,3,0,6,-1,6648
1464016580,3,5,10,1,6839
1464016580,3,1,6,1,490
1464016580,3,4,11,-1,300
1464016580,3,5,11,-1,511
1464016580,3,9,2,1,180
1464016580,3,3,9,-1,810
1464016580,3,2,8,-1,511
1464016580,3,0,7,-1,550
1464016580,3,1,6,-1,580
1464016580,3,7,0,1,180
1464016580,3,5,0,1,340
1464016580,3,10,4,1,1541
1464016580,3,7,1,1,200
1464016580,3,1,8,-1,421
1464016580,3,0,7,-1,660
1464016580,3,11,6,-1,290
1464016580,3,0,7,-1,250
1464016580,3,8,2,1,112
1464016580,3,5,11,1,351
1464016580,3,1,8,-1,110
1464016580,3,4,10,-1,191
1464016580,3,0,6,-1,210
1464016580,3,4,9,-1,300
1464016580,3,1,7,-1,221
1464016580,3,10,4,1,270
1464016580,3,7,1,1,310
1464016580,3,5,0,1,240
1464016580,3,7,1,1,260
