subject,cond,note1,note2,resp,rt
manu,1,10,3,1,3301
manu,1,5,10,-1,470
manu,1,10,3,1,410
manu,1,4,9,-1,691
manu,1,4,11,-1,1161
manu,1,9,3,1,511
manu,1,2,9,-1,570
manu,1,9,3,1,610
manu,1,7,1,-1,520
manu,1,9,2,1,571
manu,1,5,11,-1,411
manu,1,6,0,-1,420
manu,1,0,6,1,600
manu,1,4,8,1,631
manu,1,3,4,1,610
manu,1,1,7,1,500
manu,1,5,10,-1,1471
manu,1,8,3,-1,1302
manu,1,2,7,1,610
manu,1,11,10,-1,441
manu,1,3,9,-1,490
manu,1,1,6,1,470
manu,1,8,2,-1,430
manu,1,6,1,-1,510
manu,1,5,10,-1,860
manu,1,1,6,1,340
manu,1,4,5,1,570
manu,1,6,11,-1,751
manu,1,6,1,-1,950
manu,1,6,9,1,750
manu,1,7,2,-1,591
manu,1,6,2,-1,620
manu,1,4,10,-1,931
manu,1,11,9,-1,441
manu,1,7,1,-1,491
manu,1,8,11,1,890
manu,1,9,2,1,600
manu,1,1,8,-1,860
manu,1,6,1,-1,720
manu,1,9,2,-1,740
manu,1,8,2,-1,490
manu,1,9,4,-1,791
manu,1,6,11,1,490
manu,1,9,4,-1,600
manu,1,2,7,1,471
manu,1,0,7,1,520
manu,1,8,10,1,513
manu,1,1,2,1,570
manu,1,4,11,-1,2391
manu,1,0,5,1,410
manu,1,8,3,-1,600
manu,1,10,5,-1,581
manu,1,1,7,1,720
manu,1,7,2,-1,740
manu,1,5,10,1,551
manu,1,3,8,1,1350
manu,1,1,7,1,1310
manu,1,7,5,-1,623
manu,1,9,4,-1,1311
manu,1,9,2,-1,811
manu,1,1,7,1,480
manu,1,8,0,-1,1521
manu,1,5,0,-1,1000
manu,1,4,11,-1,350
manu,1,8,4,-1,441
manu,1,2,9,1,370
manu,1,0,7,1,360
manu,1,3,8,1,330
manu,1,11,4,1,540
manu,1,0,2,1,580
manu,1,2,8,1,430
manu,1,10,0,1,390
manu,1,1,6,1,422
manu,1,7,2,-1,370
manu,1,6,0,-1,340
manu,1,9,3,-1,351
manu,1,4,9,1,611
manu,1,1,9,1,650
manu,1,5,0,-1,641
manu,1,11,6,1,510
manu,1,9,4,-1,551
manu,1,7,1,-1,390
manu,1,8,1,-1,291
manu,1,0,6,1,420
manu,1,5,11,1,1431
manu,1,0,6,1,690
manu,1,2,9,1,550
manu,1,5,11,1,1491
manu,1,3,10,1,350
manu,1,7,0,1,601
manu,1,3,10,1,650
manu,1,2,7,1,460
manu,1,2,9,1,371
manu,1,1,8,1,340
manu,1,8,2,-1,410
manu,1,1,4,1,791
manu,1,0,5,1,370
manu,1,7,0,-1,480
manu,1,7,2,-1,371
manu,1,3,10,1,331
manu,1,10,4,-1,340
manu,1,10,4,-1,381
manu,1,11,5,-1,350
manu,1,10,7,-1,350
manu,1,2,8,1,391
manu,1,11,4,-1,291
manu,1,8,1,-1,301
manu,1,3,9,1,371
manu,1,1,6,1,431
manu,1,8,1,-1,390
manu,1,3,9,1,410
manu,1,8,3,-1,400
manu,1,3,7,1,380
manu,1,2,8,1,351
manu,1,11,6,1,380
manu,1,4,9,1,400
manu,1,11,5,-1,710
manu,1,11,6,-1,560
manu,1,4,11,1,1714
manu,1,0,6,1,670
manu,1,11,6,1,390
manu,1,6,1,-1,350
manu,1,1,8,1,2221
manu,1,4,10,1,1190
manu,1,8,1,-1,390
manu,1,6,0,-1,300
manu,1,2,11,-1,451
manu,1,1,8,1,520
manu,1,6,0,-1,710
manu,1,11,4,1,410
manu,1,6,11,-1,661
manu,1,3,9,-1,600
manu,1,1,10,-1,540
manu,1,11,5,1,391
manu,1,0,5,1,321
manu,1,4,10,1,360
manu,1,3,10,-1,270
manu,1,7,0,-1,380
manu,1,8,2,-1,380
manu,1,9,3,-1,321
manu,1,10,5,-1,341
manu,1,2,8,1,200
manu,1,11,4,1,380
manu,1,10,4,1,551
manu,1,3,8,1,520
manu,1,2,1,-1,641
manu,1,5,0,-1,490
manu,1,10,5,1,600
manu,1,10,3,1,410
manu,1,4,9,1,651
manu,1,0,7,1,330
manu,1,0,10,-1,420
manu,1,10,5,1,440
manu,1,2,7,1,491
manu,1,10,4,1,980
manu,1,7,1,-1,360
manu,1,10,3,1,350
manu,1,7,6,-1,390
manu,1,0,7,-1,460
manu,1,11,5,-1,380
manu,1,5,11,-1,510
manu,1,4,10,-1,400
manu,1,6,11,-1,371
manu,1,8,3,-1,690
manu,1,7,0,-1,481
manu,1,5,0,-1,410
manu,1,3,8,1,340
manu,1,0,5,1,390
