subject,cond,note1,note2,resp,rt
paul,1,4,9,-1,2563
paul,1,9,2,1,2760
paul,1,2,0,-1,536
paul,1,8,1,-1,3673
paul,1,0,5,1,2440
paul,1,8,2,-1,2380
paul,1,1,8,-1,3490
paul,1,8,3,1,908
paul,1,8,7,-1,363
paul,1,1,6,1,616
paul,1,9,4,1,625
paul,1,1,10,-1,342
paul,1,10,4,1,473
paul,1,0,5,1,385
paul,1,0,5,1,505
paul,1,3,11,-1,665
paul,1,8,1,1,2238
paul,1,1,7,-1,1675
paul,1,9,3,1,637
paul,1,7,1,1,4749
paul,1,5,11,-1,242
paul,1,11,6,1,455
paul,1,9,3,1,968
paul,1,4,11,-1,2340
paul,1,5,4,-1,556
paul,1,8,1,-1,2210
paul,1,11,5,1,797
paul,1,2,9,-1,382
paul,1,4,11,-1,2523
paul,1,3,8,1,374
paul,1,10,7,-1,385
paul,1,3,9,-1,1130
paul,1,4,11,-1,1545
paul,1,5,10,-1,484
paul,1,4,10,-1,1644
paul,1,9,2,1,1474
paul,1,10,5,1,1845
paul,1,5,0,-1,918
paul,1,6,11,-1,474
paul,1,1,6,1,2238
paul,1,9,4,1,606
paul,1,7,0,-1,667
paul,1,5,1,-1,484
paul,1,1,3,1,4174
paul,1,0,6,-1,2017
paul,1,8,2,-1,1623
paul,1,3,9,1,1433
paul,1,6,2,-1,2240
paul,1,7,1,1,2674
paul,1,11,4,1,1482
paul,1,4,9,-1,574
paul,1,1,6,1,818
paul,1,11,6,1,575
paul,1,7,2,-1,798
paul,1,1,5,1,1714
paul,1,10,4,1,1625
paul,1,1,7,-1,1302
paul,1,2,7,1,1564
paul,1,2,9,1,1120
paul,1,3,10,1,1211
paul,1,8,2,-1,384
paul,1,3,8,1,1390
paul,1,1,7,1,1764
paul,1,5,10,-1,747
paul,1,1,6,1,563
paul,1,5,11,-1,1593
paul,1,0,3,-1,2148
paul,1,2,8,-1,1453
paul,1,4,2,-1,505
paul,1,0,6,1,554
paul,1,7,6,-1,2076
paul,1,9,3,-1,1370
paul,1,1,8,1,1643
paul,1,5,11,-1,1644
paul,1,2,9,1,1834
paul,1,6,1,-1,1412
paul,1,3,10,1,1574
paul,1,3,9,-1,1510
paul,1,11,4,-1,5319
paul,1,10,3,1,2974
paul,1,0,6,1,1249
paul,1,10,5,1,2086
paul,1,2,9,-1,2026
paul,1,9,2,-1,2752
paul,1,0,7,1,555
paul,1,7,1,-1,1552
paul,1,11,6,1,1361
paul,1,9,3,-1,1230
paul,1,1,8,1,1692
paul,1,3,4,-1,5897
paul,1,4,11,-1,3498
paul,1,11,6,1,554
paul,1,10,5,-1,496
paul,1,10,3,-1,2028
paul,1,5,0,-1,2421
paul,1,1,4,-1,666
paul,1,4,10,-1,1019
paul,1,8,3,1,343
paul,1,6,11,-1,1160
paul,1,7,0,1,817
paul,1,6,0,1,2754
paul,1,6,1,1,2702
paul,1,10,4,-1,1633
paul,1,0,7,1,1633
paul,1,2,8,1,646
paul,1,0,7,-1,1786
paul,1,2,7,1,1391
paul,1,7,2,-1,1130
paul,1,10,3,1,1987
paul,1,6,0,-1,454
paul,1,2,8,1,1090
paul,1,7,10,1,927
paul,1,2,7,1,1787
paul,1,3,9,1,1582
paul,1,7,2,1,847
paul,1,0,7,1,1484
paul,1,7,0,-1,715
paul,1,1,8,1,292
paul,1,6,0,-1,1624
paul,1,4,9,-1,1584
paul,1,7,1,-1,1542
paul,1,8,3,1,201
paul,1,3,8,-1,4194
paul,1,10,3,-1,1533
paul,1,6,1,1,1625
paul,1,2,7,1,434
paul,1,5,11,-1,1583
paul,1,7,0,1,1785
paul,1,7,2,1,1522
paul,1,9,4,1,1311
paul,1,11,4,1,959
paul,1,0,4,-1,635
paul,1,10,4,1,777
paul,1,5,0,-1,1081
paul,1,2,8,-1,2056
paul,1,5,10,-1,1361
paul,1,8,2,-1,1281
paul,1,8,3,1,385
paul,1,3,10,1,495
paul,1,3,10,1,303
paul,1,10,0,1,394
paul,1,7,4,-1,1080
paul,1,7,11,1,928
paul,1,4,10,-1,828
paul,1,11,5,-1,463
paul,1,5,10,1,515
paul,1,9,2,-1,2431
paul,1,6,7,1,1947
paul,1,1,7,1,1867
paul,1,11,0,1,797
paul,1,3,8,1,2522
paul,1,0,5,-1,745
paul,1,5,0,1,1614
paul,1,11,5,1,1666
paul,1,5,7,1,1542
paul,1,11,5,-1,1875
paul,1,6,1,-1,1321
paul,1,9,4,1,1563
paul,1,6,11,-1,1483
paul,1,0,6,1,1373
paul,1,10,8,-1,1625
paul,1,4,10,1,1603
paul,1,11,4,-1,587
paul,1,6,0,-1,766
paul,1,8,1,1,646
paul,1,10,5,1,2250
paul,1,6,11,-1,1080
paul,1,4,9,-1,1705
