subject,cond,note1,note2,resp,rt
hugo,c,1,2,1,5774
hugo,c,10,0,1,772
hugo,c,4,7,1,588
hugo,c,10,2,1,538
hugo,c,4,9,1,476
hugo,c,5,11,1,132
hugo,c,8,3,1,163
hugo,c,10,6,-1,355
hugo,c,2,11,-1,233
hugo,c,0,10,-1,214
hugo,c,4,3,-1,244
hugo,c,1,2,1,1561
hugo,c,9,11,1,284
hugo,c,3,6,1,112
hugo,c,8,0,1,244
hugo,c,11,4,1,21
hugo,c,6,0,-1,2001
hugo,c,4,11,-1,20
hugo,c,6,2,-1,4946
hugo,c,3,0,-1,496
hugo,c,9,7,-1,102
hugo,c,6,5,-1,20
hugo,c,10,11,1,214
hugo,c,5,7,1,20
hugo,c,10,1,1,10
hugo,c,2,6,-1,862
hugo,c,5,10,1,21
hugo,c,3,9,-1,20
hugo,c,6,1,1,41
hugo,c,7,3,1,20
hugo,c,2,11,-1,71
hugo,c,9,7,-1,1493
hugo,c,1,0,-1,21
