subject,cond,note1,note2,resp,rt
paul,c,6,9,1,1917
paul,c,2,7,1,1250
paul,c,5,10,1,485
paul,c,1,4,1,898
paul,c,6,3,-1,516
paul,c,8,9,1,545
paul,c,8,11,1,606
paul,c,0,9,-1,524
paul,c,4,2,-1,585
paul,c,8,3,1,585
paul,c,1,2,-1,757
paul,c,0,7,1,545
paul,c,2,4,1,373
paul,c,9,3,1,958
paul,c,1,2,-1,616
paul,c,0,6,1,817
paul,c,9,2,-1,435
paul,c,10,7,-1,2502
paul,c,4,0,-1,645
paul,c,4,10,-1,3741
paul,c,2,6,1,7534
paul,c,7,6,-1,943
paul,c,2,1,-1,379
paul,c,0,4,1,464
paul,c,10,6,1,494
paul,c,4,8,1,525
paul,c,10,8,-1,485
paul,c,2,10,1,787
paul,c,0,2,1,1039
paul,c,9,7,-1,2078
paul,c,6,1,1,434
paul,c,2,4,1,403
paul,c,2,1,-1,494
